epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
1,1.0191701077547317,0.6152741201819487,0.6032919876735391,0.7527011911296312,0.7128491620111732,0.7056529179422879,0.001
2,0.6489201684816619,0.7742398850849892,0.7706706225000958,0.5949200194974186,0.7787709497206704,0.7786561959999417,0.001
3,0.5212649587226993,0.8273880775676322,0.8269658941756962,0.5234759956764775,0.8156424581005587,0.8199116515841312,0.001
4,0.47407834015310396,0.8312185779267417,0.8320973043236297,0.4869134083972963,0.8268156424581006,0.8294077185200819,0.001
5,0.4373047749534417,0.8479770169978453,0.8493685679247491,0.4588221136251641,0.8312849162011173,0.8346413085964832,0.001
6,0.4184261605247003,0.849174048360067,0.8499162442128261,0.43712517808935497,0.8379888268156425,0.8406532993452496,0.001
7,0.3966067062558413,0.861862580799617,0.8620973463107104,0.42677722851324346,0.8458100558659218,0.8476294166411468,0.001
8,0.3787730577418985,0.8644960497965046,0.865159632174535,0.419063891528705,0.8458100558659218,0.8484548221540413,0.001
9,0.3692975219982162,0.8676083313382811,0.869097723359772,0.3939739024505935,0.8603351955307262,0.8616210913111318,0.001
10,0.3618677417242216,0.8743117069667226,0.8760751734644634,0.41203730211244616,0.8536312849162011,0.857005940314866,0.001
11,0.3556807368373026,0.8733540818769452,0.8745054036918712,0.3960081980714585,0.8581005586592179,0.8604206788875803,0.001
12,0.3438754343432846,0.8793392386880536,0.8812719693812515,0.3819075989490115,0.8692737430167597,0.8719126120873644,0.001
13,0.3305052872662456,0.8853243954991621,0.8865702335463311,0.3807273163142817,0.864804469273743,0.865369277284831,0.001
14,0.3291172350968417,0.8812544888676084,0.8827466169589667,0.364076040277268,0.8726256983240224,0.8740074868877008,0.001
15,0.31628959489861885,0.8884366770409384,0.889802745173476,0.36646728375770526,0.8748603351955307,0.8770849662099944,0.001
16,0.3184020310276457,0.8910701460378262,0.8920668554264429,0.3570888890400945,0.8782122905027933,0.8799132763422864,0.001
17,0.3130444098965871,0.8898731146756045,0.8907079881798409,0.35793838722412813,0.8815642458100559,0.8831702183025176,0.001
18,0.3080307496687086,0.8901125209480488,0.8913308826671182,0.3496583041865066,0.8837988826815643,0.8852587085041467,0.001
19,0.29294483757829565,0.8989705530284894,0.9001832078954838,0.3447836922367192,0.8837988826815643,0.8854690312643251,0.001
20,0.2920953619842584,0.8953794589418242,0.8966493946512283,0.3457339324598206,0.88268156424581,0.8850733618844779,0.001
21,0.29225880284685535,0.8901125209480488,0.8917428152146263,0.3385728709691064,0.8849162011173184,0.8859023009026991,0.001
22,0.29482460920251896,0.8896337084031601,0.891837705865542,0.3423055932924734,0.8860335195530726,0.8864376933487295,0.001
23,0.28392491788421204,0.8975341153938233,0.8990078401393189,0.33137272886890273,0.8849162011173184,0.8862956686925977,0.001
24,0.2789866272444813,0.9023222408427101,0.9037103615359003,0.3354930369963859,0.8893854748603351,0.8908616827407005,0.001
25,0.2748793286478973,0.8984917404836007,0.9006076629392425,0.3359690251213878,0.8916201117318435,0.8928940503815992,0.001
26,0.2762918378181197,0.8968158965764903,0.8983256619271147,0.33013216094764253,0.8893854748603351,0.8906424818606687,0.001
27,0.2742645794948037,0.8996887718458224,0.9019101977178596,0.32953183019127924,0.8905027932960894,0.8912759068774316,0.001
28,0.26903117885993716,0.9032798659324874,0.9047558171117859,0.3274526802521178,0.8905027932960894,0.8920674697323108,0.0003
29,0.2591720898884291,0.9071103662915968,0.9092332610630008,0.3257919610628869,0.8927374301675978,0.89448820108515,0.0003
30,0.26322997239237056,0.9030404596600431,0.9049874494995095,0.32510136785453925,0.8938547486033519,0.8955139503368027,0.0003
