filename,relative_path,true_class,predicted_class,confidence,probability_glioma,probability_meningioma,probability_notumor,probability_pituitary
Te-gl_306.jpg,data/Testing/glioma/Te-gl_306.jpg,glioma,meningioma,0.9966994,0.0030937318,0.9966994,1.030223e-05,0.00019657146
Te-me_9.jpg,data/Testing/meningioma/Te-me_9.jpg,meningioma,notumor,0.996012,5.075331e-05,0.00075868,0.996012,0.0031786747
Te-gl_187.jpg,data/Testing/glioma/Te-gl_187.jpg,glioma,notumor,0.9776078,0.0018093248,0.015344694,0.9776078,0.005238272
Te-gl_310.jpg,data/Testing/glioma/Te-gl_310.jpg,glioma,notumor,0.976915,0.0034757748,0.019232634,0.976915,0.00037655074
Tr-gl_106.jpg,data/Training/glioma/Tr-gl_106.jpg,glioma,meningioma,0.9715286,0.027316894,0.9715286,0.0009773399,0.00017722935
Te-gl_315.jpg,data/Testing/glioma/Te-gl_315.jpg,glioma,meningioma,0.9464686,0.053359017,0.9464686,2.1280059e-05,0.00015109444
Tr-pi_1309.jpg,data/Training/pituitary/Tr-pi_1309.jpg,pituitary,meningioma,0.9332964,0.0239055,0.9332964,8.0269696e-05,0.04271778
Te-me_93.jpg,data/Testing/meningioma/Te-me_93.jpg,meningioma,pituitary,0.9281823,0.022997018,0.005781386,0.04303937,0.9281823
Te-me_195.jpg,data/Testing/meningioma/Te-me_195.jpg,meningioma,notumor,0.9052145,0.016609738,0.03092908,0.9052145,0.047246713
Te-gl_159.jpg,data/Testing/glioma/Te-gl_159.jpg,glioma,notumor,0.90473014,0.0037652948,0.037300237,0.90473014,0.054204255
Tr-pi_1098.jpg,data/Training/pituitary/Tr-pi_1098.jpg,pituitary,meningioma,0.89487296,0.0043473844,0.89487296,0.005509336,0.09527027
Tr-gl_211.jpg,data/Training/glioma/Tr-gl_211.jpg,glioma,meningioma,0.88518727,0.108426765,0.88518727,0.0011098945,0.0052761356
Te-me_81.jpg,data/Testing/meningioma/Te-me_81.jpg,meningioma,notumor,0.88516635,0.09024,0.019156093,0.88516635,0.0054375227
Tr-gl_936.jpg,data/Training/glioma/Tr-gl_936.jpg,glioma,meningioma,0.8827172,0.11617648,0.8827172,2.4778887e-05,0.0010815746
Te-gl_102.jpg,data/Testing/glioma/Te-gl_102.jpg,glioma,notumor,0.8816927,0.111655824,0.0028446964,0.8816927,0.003806715
Te-gl_313.jpg,data/Testing/glioma/Te-gl_313.jpg,glioma,notumor,0.88021386,0.007761095,0.10717045,0.88021386,0.0048545254
Te-me_29.jpg,data/Testing/meningioma/Te-me_29.jpg,meningioma,notumor,0.8575952,0.0027378409,0.13083792,0.8575952,0.008829081
Tr-me_417.jpg,data/Training/meningioma/Tr-me_417.jpg,meningioma,notumor,0.85106534,0.004799537,0.124212176,0.85106534,0.019922927
Te-me_270.jpg,data/Testing/meningioma/Te-me_270.jpg,meningioma,notumor,0.84806913,0.0054680235,0.13638242,0.84806913,0.010080423
Tr-gl_891.jpg,data/Training/glioma/Tr-gl_891.jpg,glioma,meningioma,0.8472287,0.14992568,0.8472287,9.357275e-05,0.0027520705
