path_a,class_a,path_b,class_b,method,phash_distance,normalized_pixel_correlation,structural_similarity,label_conflict
data/Training/glioma/Tr-gl_1057.jpg,glioma,data/Testing/glioma/Te-gl_311.jpg,glioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/glioma/Tr-gl_1271.jpg,glioma,data/Testing/glioma/Te-gl_169.jpg,glioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/glioma/Tr-gl_361.jpg,glioma,data/Testing/glioma/Te-gl_299.jpg,glioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/glioma/Tr-gl_361.jpg,glioma,data/Testing/glioma/Te-gl_364.jpg,glioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/glioma/Tr-gl_420.jpg,glioma,data/Testing/glioma/Te-gl_233.jpg,glioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1044.jpg,meningioma,data/Testing/meningioma/Te-me_157.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1057.jpg,meningioma,data/Testing/meningioma/Te-me_270.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1069.jpg,meningioma,data/Training/meningioma/Tr-me_543.jpg,meningioma,perceptual_phash_ncc,0,0.9975658059120178,0.9459166526794434,False
data/Training/meningioma/Tr-me_1069.jpg,meningioma,data/Training/meningioma/Tr-me_726.jpg,meningioma,perceptual_phash_ncc,0,0.9975658059120178,0.9459166526794434,False
data/Training/meningioma/Tr-me_1069.jpg,meningioma,data/Testing/meningioma/Te-me_2.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1069.jpg,meningioma,data/Testing/meningioma/Te-me_252.jpg,meningioma,perceptual_phash_ncc,0,0.9975658059120178,0.9459166526794434,False
data/Training/meningioma/Tr-me_1083.jpg,meningioma,data/Testing/meningioma/Te-me_5.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_109.jpg,meningioma,data/Testing/meningioma/Te-me_30.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1091.jpg,meningioma,data/Testing/meningioma/Te-me_95.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1094.jpg,meningioma,data/Training/meningioma/Tr-me_219.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_110.jpg,meningioma,data/Testing/meningioma/Te-me_174.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1101.jpg,meningioma,data/Training/meningioma/Tr-me_836.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1110.jpg,meningioma,data/Testing/meningioma/Te-me_42.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1110.jpg,meningioma,data/Training/meningioma/Tr-me_464.jpg,meningioma,perceptual_phash_ncc,2,0.9989588260650635,0.9547844529151917,False
data/Training/meningioma/Tr-me_1110.jpg,meningioma,data/Training/meningioma/Tr-me_639.jpg,meningioma,perceptual_phash_ncc,2,0.9989149570465088,0.9542617797851562,False
data/Training/meningioma/Tr-me_1110.jpg,meningioma,data/Testing/meningioma/Te-me_214.jpg,meningioma,perceptual_phash_ncc,2,0.9989149570465088,0.9542617797851562,False
data/Training/meningioma/Tr-me_1110.jpg,meningioma,data/Testing/meningioma/Te-me_262.jpg,meningioma,perceptual_phash_ncc,2,0.9987359046936035,0.9545783996582031,False
data/Training/meningioma/Tr-me_1112.jpg,meningioma,data/Testing/meningioma/Te-me_165.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1121.jpg,meningioma,data/Testing/meningioma/Te-me_86.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1122.jpg,meningioma,data/Testing/glioma/Te-gl_160.jpg,glioma,perceptual_phash_ncc,0,0.9967038631439209,0.9741189479827881,True
data/Training/meningioma/Tr-me_1122.jpg,meningioma,data/Testing/meningioma/Te-me_159.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1127.jpg,meningioma,data/Testing/meningioma/Te-me_272.jpg,meningioma,perceptual_phash_ncc,2,0.9997916221618652,0.9747349619865417,False
data/Training/meningioma/Tr-me_1146.jpg,meningioma,data/Testing/meningioma/Te-me_241.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1163.jpg,meningioma,data/Testing/meningioma/Te-me_274.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1166.jpg,meningioma,data/Testing/meningioma/Te-me_31.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1168.jpg,meningioma,data/Testing/meningioma/Te-me_71.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1194.jpg,meningioma,data/Testing/meningioma/Te-me_158.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1198.jpg,meningioma,data/Testing/meningioma/Te-me_66.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1225.jpg,meningioma,data/Testing/meningioma/Te-me_39.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1249.jpg,meningioma,data/Testing/meningioma/Te-me_266.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_126.jpg,meningioma,data/Testing/meningioma/Te-me_265.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1262.jpg,meningioma,data/Testing/meningioma/Te-me_207.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1282.jpg,meningioma,data/Testing/meningioma/Te-me_125.jpg,meningioma,perceptual_phash_ncc,2,0.9996850490570068,0.9958685040473938,False
data/Training/meningioma/Tr-me_1286.jpg,meningioma,data/Testing/meningioma/Te-me_4.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1289.jpg,meningioma,data/Testing/meningioma/Te-me_285.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_1290.jpg,meningioma,data/Testing/meningioma/Te-me_37.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_131.jpg,meningioma,data/Testing/meningioma/Te-me_93.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_145.jpg,meningioma,data/Testing/meningioma/Te-me_296.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_154.jpg,meningioma,data/Testing/meningioma/Te-me_52.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_158.jpg,meningioma,data/Testing/meningioma/Te-me_231.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_167.jpg,meningioma,data/Testing/meningioma/Te-me_276.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_19.jpg,meningioma,data/Testing/meningioma/Te-me_184.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_200.jpg,meningioma,data/Testing/meningioma/Te-me_54.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_205.jpg,meningioma,data/Testing/meningioma/Te-me_232.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_238.jpg,meningioma,data/Testing/meningioma/Te-me_230.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
data/Training/meningioma/Tr-me_239.jpg,meningioma,data/Testing/meningioma/Te-me_167.jpg,meningioma,exact_decoded_rgb,0,1.0,1.0,False
